skills_match,projects,internships,certifications,github,resume_score,hired
91,3,0,0,1,86,1
34,1,1,2,1,83,0
58,0,1,0,0,69,0
38,2,1,4,1,72,0
67,4,3,3,0,62,0
50,4,4,5,1,80,0
72,0,0,2,0,100,0
53,0,4,2,1,93,0
36,0,4,0,0,74,0
38,3,0,0,1,92,0
54,5,4,5,0,85,0
65,1,0,1,1,43,0
57,5,3,5,1,41,0
60,3,4,1,0,70,0
32,3,1,3,1,90,0
79,2,3,0,1,50,0
67,1,4,3,1,87,1
73,1,3,2,1,98,1
37,3,4,1,0,77,0
61,3,0,5,1,91,0
77,0,4,0,1,77,1
92,6,4,2,1,70,0
79,3,4,0,0,90,1
72,5,0,1,0,55,0
68,1,2,3,1,42,0
86,3,3,0,0,41,0
47,6,3,5,1,52,0
48,2,0,1,1,83,0
51,4,2,3,1,94,0
38,1,1,1,1,77,0
90,1,1,4,1,82,0
38,5,0,0,1,76,0
64,5,2,0,1,68,0
89,0,1,4,1,91,0
31,0,4,4,1,85,0
36,3,3,4,1,59,0
34,5,1,1,1,73,0
50,0,4,3,1,94,0
95,1,0,5,1,78,0
31,3,2,0,0,53,0
34,5,1,4,0,73,0
47,0,3,1,1,87,0
69,3,2,3,1,85,1
93,5,4,3,1,80,1
75,6,3,3,1,62,0
45,4,1,1,1,52,0
84,2,3,2,0,62,0
63,4,2,1,1,67,0
90,1,3,3,0,85,1
42,4,1,4,1,86,0
70,3,1,1,0,93,1
33,4,2,1,1,60,0
73,2,2,5,0,98,1
54,5,3,1,0,83,0
88,5,4,4,0,52,0
91,4,2,4,0,83,1
30,1,3,1,1,65,0
88,3,3,5,0,56,0
31,4,1,1,0,95,0
91,6,1,2,0,60,0
46,2,2,2,1,75,0
49,5,0,0,0,60,0
64,2,3,1,0,96,0
88,6,0,3,1,74,1
33,0,4,1,1,40,0
63,4,3,3,1,79,0
66,4,1,3,1,79,1
45,1,3,5,0,99,0
90,6,3,0,1,40,0
31,2,1,5,1,51,0
43,3,0,2,0,70,0
39,5,1,4,0,96,0
54,4,2,2,0,43,0
87,6,0,2,1,51,0
99,2,1,1,0,60,0
72,0,3,3,0,47,0
83,6,1,1,0,98,1
91,2,1,1,1,75,1
44,0,4,0,0,59,0
100,4,4,2,0,76,1
52,4,2,0,1,77,0
59,3,1,4,0,40,0
34,4,3,3,0,85,0
49,1,4,5,1,99,0
89,6,4,0,1,44,0
82,2,1,4,0,99,1
54,4,1,4,0,45,0
66,6,0,5,1,83,1
96,6,0,0,1,55,0
94,1,4,2,0,42,0
61,6,4,4,0,88,0
100,5,2,3,1,41,0
90,6,2,4,1,49,0
68,6,4,5,0,94,1
40,4,4,3,1,40,0
98,0,0,3,1,60,0
63,5,0,2,1,70,0
59,0,2,5,1,44,0
33,1,4,5,0,58,0
55,3,0,1,0,82,0
72,0,0,5,0,79,0
69,4,4,0,1,95,1
84,2,2,2,1,62,0
66,0,1,5,1,50,0
43,0,2,5,0,64,0
72,6,3,2,1,48,0
42,0,0,5,1,45,0
36,1,2,0,1,100,0
75,0,1,1,1,99,0
57,1,1,2,1,43,0
71,1,2,5,0,89,1
55,5,3,2,1,82,0
59,1,4,5,1,59,0
67,0,3,0,1,53,0
45,4,3,3,0,73,0
73,1,0,4,0,95,0
57,1,4,5,1,53,0
31,6,4,3,0,96,0
66,6,3,2,1,41,0
32,2,0,5,1,82,0
98,6,1,1,0,91,1
68,0,2,4,0,47,0
79,3,4,3,0,40,0
42,0,2,0,1,92,0
76,1,4,1,0,45,0
79,1,4,5,1,73,1
65,6,0,3,0,100,0
61,1,3,5,1,61,0
85,3,4,3,1,93,1
58,5,3,3,1,100,0
95,5,1,3,1,77,1
73,4,3,4,0,47,0
46,4,0,4,0,70,0
96,4,2,2,0,99,1
73,5,2,0,0,87,1
68,0,0,4,0,86,0
44,2,0,0,1,84,0
31,2,4,2,1,70,0
38,3,1,4,0,82,0
44,2,2,4,0,80,0
52,4,2,2,0,70,0
50,1,3,4,1,91,0
41,6,3,2,0,53,0
41,4,3,3,0,43,0
64,0,3,4,1,77,0
39,2,3,3,0,77,0
82,1,0,1,1,74,0
67,1,4,5,1,44,0
83,5,1,3,1,49,0
78,3,0,4,0,62,0
85,1,2,3,0,74,1
31,3,2,5,1,54,0
80,1,0,3,0,57,0
67,6,0,5,0,57,0
98,0,1,4,1,69,0
87,6,1,5,1,56,0
51,0,4,2,0,49,0
62,2,3,2,1,94,0
72,4,3,1,1,92,1
59,0,1,2,0,78,0
74,4,4,4,0,84,1
56,6,4,5,0,65,0
100,2,1,3,1,75,1
78,5,1,5,1,98,1
100,5,3,3,0,88,1
51,2,3,0,0,60,0
63,5,4,0,0,71,0
84,2,3,1,1,76,1
95,4,3,3,1,98,1
56,6,1,0,1,91,0
63,6,0,1,1,53,0
66,6,2,0,0,40,0
35,5,4,3,0,40,0
64,3,0,0,1,57,0
99,4,1,3,1,84,1
31,0,2,4,1,56,0
92,2,4,4,0,54,0
55,5,0,2,0,60,0
63,0,0,5,1,66,0
35,2,4,0,0,65,0
69,2,1,0,0,52,0
58,3,2,5,1,66,0
97,5,1,0,1,59,0
52,4,4,1,0,40,0
88,0,1,3,1,51,0
47,6,2,5,0,79,0
52,4,1,0,1,73,0
73,2,0,5,1,60,0
42,3,3,2,1,40,0
71,4,2,5,0,42,0
88,3,2,2,0,98,1
48,0,0,4,0,40,0
87,0,1,1,1,75,0
90,3,2,0,1,59,0
85,4,2,1,1,75,1
62,4,2,3,1,77,0
84,2,1,2,1,91,1
93,5,1,5,0,62,0
69,2,0,4,0,53,0
75,5,1,0,1,54,0
43,6,0,2,0,55,0
80,3,1,1,0,85,1
81,5,3,5,1,51,0
37,3,0,0,0,76,0
40,4,3,1,1,40,0
50,1,3,1,1,46,0
44,6,3,0,1,100,0
95,2,0,4,0,96,0
76,0,1,3,1,98,0
79,6,0,1,1,86,1
74,4,4,0,1,66,0
58,4,0,2,0,55,0
92,3,4,2,0,83,1
